Federal Provider Number,Percentage of high risk long-stay residents with pressure ulcers,Percentage of long-stay residents assessed and appropriately given the pneumococcal vaccine,Percentage of long-stay residents assessed and appropriately given the seasonal influenza vaccine,Percentage of long-stay residents experiencing one or more falls with major injury,Percentage of long-stay residents who have depressive symptoms,Percentage of long-stay residents who lose too much weight,Percentage of long-stay residents who received an antianxiety or hypnotic medication,Percentage of long-stay residents who received an antipsychotic medication,Percentage of long-stay residents who were physically restrained,Percentage of long-stay residents whose ability to move independently worsened,Percentage of long-stay residents whose need for help with daily activities has increased,Percentage of long-stay residents with a catheter inserted and left in their bladder,Percentage of long-stay residents with a urinary tract infection,Percentage of low risk long-stay residents who lose control of their bowels or bladder,Percentage of short-stay residents assessed and appropriately given the pneumococcal vaccine,Percentage of short-stay residents who made improvements in function,Percentage of short-stay residents who newly received an antipsychotic medication,Percentage of short-stay residents who were assessed and appropriately given the seasonal influenza vaccine
175175,3.174604,83.435581,100.0,6.748464,26.174497,9.271523,25.308644,19.04762,0.0,15.801192000000002,11.320756,0.0,1.307191,53.932585,53.333333,81.347169,0.0,50.0
175180,7.456139,75.318069,81.339713,2.035626,6.349207,4.664723,24.462363,18.092107,0.0,29.829121,21.387282,2.076219,2.7624310000000003,32.710279,60.888891,57.394716,0.0,27.272727000000003
175181,4.5454550000000005,67.06586999999999,82.608696,4.790417,7.741936999999999,9.774438,20.143886,2.99401,0.0,12.118897,7.299271000000001,5.826708999999999,9.31677,44.615385,58.002407,61.10154,0.773694,63.093788
175182,8.928572,94.219654,96.164384,2.890173,4.561401999999998,5.0000019999999985,22.629972,11.077844,0.0,15.399442,15.506329999999998,3.305131,1.875002,48.407641,60.66666899999999,69.255201,4.9999980000000015,52.0
175183,12.863071,91.08108,96.0199,8.648649,2.469136,4.545454,24.999999,17.35537,0.0,10.722232,10.915494,0.286968,6.318682,33.018866,80.794702,54.095831,5.194806,80.337079
175184,16.326528,96.153845,95.909091,3.296702,0.578034,14.72868,13.450294,9.659092,0.0,35.48902899999999,23.809523,0.0,1.4285709999999998,59.793813,89.92247900000002,88.534435,1.315791,77.235772
175185,2.702704,100.0,97.318008,3.921568,0.0,7.741936,11.052633,11.656442,0.0,20.634782,11.170212,0.0,0.0,31.355933,100.0,80.058749,3.053435,93.577982
175187,10.674158,65.929203,90.513834,4.4247809999999985,5.238093,7.821232000000001,13.499997,7.619047,0.0,34.109884,25.388601,0.383517,1.470589,63.440862,74.440892,81.945409,1.136365,65.395095
175191,9.756096,98.675496,99.401198,0.0,0.0,3.623186,12.676059,22.137407,0.0,18.659859,11.971829,0.0,0.0,47.252745,86.567164,81.826095,0.0,83.908046
175200,8.860759,92.660551,95.918367,7.339449,15.942028,16.374270000000006,16.836734,15.196079,0.0,21.228678,23.711338,5.416561,3.061224,44.444446,33.636365000000005,77.684749,3.225805,45.535714
175201,7.317072,96.992482,97.972973,10.526315,7.93651,12.621359,23.255815,25.203253,0.0,29.095196,16.406251,0.495479,11.214952,59.090909,81.57895,78.571384,0.0,91.025641
175205,9.52381,87.037035,95.348837,4.6296300000000015,3.061224,6.024095,26.315790000000003,19.191921,0.0,24.860554,21.348315,0.0,5.2083309999999985,32.075469,48.837209,66.343649,11.363636,51.470588
175210,2.380953,99.456522,100.0,3.804345,1.265822,13.97059,24.074076,10.982659,0.0,13.114132,11.842107,3.779601,5.063291,18.181818,84.999998,80.612742,6.060605000000002,76.119403
175214,2.469137,72.891565,90.860215,3.614456,4.081632,2.919711,28.571429,9.395974,0.0,9.19779,7.142855,2.533114,1.935484,33.750002,39.08046,85.097646,3.225805,62.89308199999999
175215,6.201549,93.838864,90.086207,2.843599,22.395833,7.647059,28.78788,28.289472,0.0,12.606133,16.230366,1.1975360000000002,0.546449,38.144329,92.265193,62.100919,0.0,81.764706
